,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,duku,11.2361,4.9073,32.6,13,80,1.57
1,ushuaia,-54.8,-68.3,11,62,20,9.26
2,karratha,-20.7377,116.8463,27.3,65,6,1.39
3,rikitea,-23.1203,-134.9692,26.67,75,6,5.44
4,atuona,-9.8,-139.0333,27.05,70,6,7.91
5,mataura,-46.1927,168.8643,13.33,95,77,0.89
6,lompoc,34.6391,-120.4579,13.9,63,20,7.2
8,vaini,-21.2,-175.2,27,78,75,3.6
9,diffa,13.3154,12.6113,31.13,9,91,3.18
10,zhezkazgan,47.8043,67.7144,-1.29,97,100,10.55
11,punta arenas,-53.15,-70.9167,12.89,62,75,4.63
12,chalchihuites,23.4833,-103.8833,22.66,12,2,10.81
13,ponta do sol,32.6667,-17.1,12.91,67,40,4.63
14,butaritari,3.0707,172.7902,27.36,79,88,8.83
15,astoria,46.1879,-123.8313,9.03,66,40,6.17
16,lagoa,39.05,-27.9833,13.13,84,100,11.08
17,bredasdorp,-34.5322,20.0403,19,72,1,5.66
18,altar,30.7,-111.8167,22.78,12,0,4.47
19,tirumullaivasal,11.2333,79.8333,25.26,76,6,1.25
20,hampden,42.1668,-72.5829,11.59,26,20,2.06
21,kapaa,22.0752,-159.319,24.25,60,75,3.6
22,avarua,-21.2078,-159.775,29,79,39,3.09
23,khatanga,71.9667,102.5,-28.68,82,98,3.35
25,vestmannaeyjar,63.4427,-20.2734,3.34,59,100,14.07
26,new norfolk,-42.7826,147.0587,17.82,61,94,1.06
28,tasiilaq,65.6145,-37.6368,-5,63,90,3.6
29,daru,-9.0763,143.2092,26.6,87,100,2.2
30,puerto baquerizo moreno,-0.9,-89.6,26,89,75,1.54
31,chokurdakh,70.6333,147.9167,-28.59,98,52,2.1
32,pahrump,36.2083,-115.9839,18.51,15,65,1.79
33,pestretsy,55.7531,49.6545,-2,93,90,3
34,los llanos de aridane,28.6585,-17.9182,15.14,59,90,5.66
36,solin,43.55,16.5,6,36,0,8.75
37,saint-philippe,-21.3585,55.7679,23.42,78,40,2.57
38,husavik,66.0449,-17.3389,3,44,40,4.63
39,saskylakh,71.9167,114.0833,-41.65,100,71,2.45
40,alice springs,-23.7,133.8833,20,94,75,2.57
41,torbay,47.6666,-52.7314,5,56,40,11.32
42,narsaq,60.9167,-46.05,-7,53,75,1.54
43,freeport,40.6576,-73.5832,8.88,66,1,4.63
44,kodiak,57.79,-152.4072,2,75,90,1.54
45,araouane,18.9048,-3.5265,23.18,16,85,5.1
46,thompson,55.7435,-97.8558,-5,63,75,5.14
47,mbini,1.574,9.6134,26,94,40,1.94
48,mbaiki,3.8678,17.9892,21.25,89,63,1.19
49,bogotol,56.2078,89.5342,0.33,95,100,7.24
50,hervey bay,-25.2986,152.8535,28.33,74,89,2.68
51,sao filipe,14.8961,-24.4956,21.43,74,3,4.39
52,lebu,-37.6167,-73.65,13.9,84,34,4.31
53,haines junction,60.7522,-137.5108,-6,30,41,3.6
54,lubango,-14.9172,13.4925,16.85,84,93,0.15
55,bengkulu,-3.8004,102.2655,23.89,91,100,2.34
